x,y,site_id,date,water_year,water_day,swe,year,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile_swe,wy_n,elev_ft,latitude,longitude,site_name,sntl_id
87.08,40.35,672,2021-04-01,2021,183,64.1,2021,64.3,32.15,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,64.1,0.7857142857142857,28,4030,  47.37,-121.44,Olallie Meadows,SNTL:672
88.49,8.38,1011,2021-04-01,2021,183,69.3,2021,69.7,34.85,2021-04-05,187,TBD,187,2021-04-05,TBD,69.3,NA,8,4970,  48.82,-121.93,MF Nooksack,SNTL:1011
69.4,62.57,1012,2021-04-01,2021,183,81.8,2021,82,41,2021-04-05,187,TBD,187,2021-04-05,TBD,81.8,NA,8,4440,  46.16,-122.18,Swift Creek,SNTL:1012
138.22,20.42,1043,2021-04-01,2021,183,8.6,2021,10,5,2021-03-11,162,2021-03-11,187,2021-04-05,TBD,8.6,NA,7,4680,  48.86,-118.40,Sentinel Butte,SNTL:1043
86.17,44.8,1068,2021-04-01,2021,183,44.4,2021,44.7,22.35,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,44.4,NA,4,4640,  47.16,-121.42,Sawmill Ridge,SNTL:1068
81.24,42.55,1069,2021-04-01,2021,183,36.8,2021,37,18.5,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,36.8,NA,3,3900,  47.20,-121.78,Lynn Lake,SNTL:1069
99.31,8.91,1080,2021-04-01,2021,183,63.5,2021,63.9,31.95,2021-04-05,187,TBD,187,2021-04-05,TBD,63.5,NA,1,5830,  48.93,-121.20,Brown Top,SNTL:1080
82.93,50.41,1085,2021-04-01,2021,183,67.1,2021,67.4,33.7,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,67.1,NA,4,5240,  46.87,-121.53,Cayuse Pass,SNTL:1085
60.38,25.1,1107,2021-04-01,2021,183,67,2021,67.4,33.7,2021-03-30,181,2021-03-30,187,2021-04-05,TBD,67,NA,2,4870,  47.71,-123.46,Buckinghorse,SNTL:1107
67.29,67.83,1109,2021-04-01,2021,183,4.3,2021,5.1,2.55,2021-03-25,176,2021-03-25,187,2021-04-05,TBD,4.3,NA,2,2500,  45.90,-122.22,Calamity,SNTL:1109
59.55,30.48,1126,2021-04-01,2021,183,34.4,2021,34.4,17.2,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,34.4,NA,NA,3384,  47.46,-123.41,Mt. Tebo,SNTL:1126
