water_year,year,site_id,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile,date,water_day,swe,wy_n,text_peak,text_sm50,text_today,text_ptile,elev_ft,latitude,longitude,site_name,sntl_id,d_swe,id,apr1_x,apr1_y,apr1_met,peak_x,peak_y,sm50_x,sm50_y
2021,2021,519,4.4,2.2,2021-02-01,124,NA,152,2021-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data,no data,7640,34.31,-110.75,Heber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,672,44.7,22.35,2021-02-16,139,NA,153,2021-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data,no data,4030,47.37,-121.44,Olallie Meadows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1000,33.2,16.6,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,33.2,10,NA,TBD,33.2,no data,6010,42.87,-122.17,Annie Springs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1001,40.8,20.4,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,40.8,11,NA,TBD,40.8,no data,850,58.19,-133.83,Long Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1003,14.5,7.25,2021-03-19,170,NA,173,2021-03-22,TBD,NA,0.8181818181818182,2021-03-22,173,14.2,22,NA,TBD,14.2,NA,1320,59.74,-151.25,Mcneil Canyon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1005,13.2,6.6,2021-03-20,171,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12.9,10,NA,TBD,12.9,no data,10650,37.61,-105.37,Ute Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1006,12.1,6.05,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12.1,10,NA,TBD,12.1,no data,7370,40.36,-116.86,Lewis Peak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1008,10.3,5.15,2021-03-14,165,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,10.2,NA,NA,TBD,10.2,no data,7410,46.91,-110.85,Onion Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1009,10.1,5.05,2021-03-17,168,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,9.8,NA,NA,TBD,9.8,no data,6550,46.93,-110.9,Stringer Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1010,10.7,5.35,2021-03-17,168,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,10.5,9,NA,TBD,10.5,no data,6180,42.64,-120.95,Crazyman Flat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1011,64.7,32.35,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,64.7,8,NA,TBD,64.7,no data,4970,48.82,-121.93,MF Nooksack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1012,77.9,38.95,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,77.9,8,NA,TBD,77.9,no data,4440,46.16,-122.18,Swift Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1013,11.2,5.6,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,11.2,9,NA,TBD,11.2,no data,7406,41.79,-111.55,Temple Fork,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
