"x","y","key","Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
386.47,176.16,"sntl_1267","Alexander Lake",1267,"Alaska","SNOTEL","Matanuska-Susitna",160,61.74967,-150.88967,190205051106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.2,NA,NA,124,124,100,97,95,1.6,83,2,6,"2nd Highest",NA,NA,6.63,6.6,3.5,10.5,"2017","2020",7
459.31,110.85,"sntl_1189","American Creek",1189,"Alaska","SNOTEL","Southeast Fairbanks",1050,64.78969,-141.23376,190705050504,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,NA,NA,89,93,96,65,70,-0.2,22,8,2,"2nd Lowest",NA,NA,2.92,2.8,1.4,4.4,"2018","2020",10
384.18,211.33,"sntl_1062","Anchor River Divide",1062,"Alaska","SNOTEL","Kenai Peninsula",1653,59.85972,-151.315,190203010701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.9,164,159,160,161,100,113,116,5.65,100,1,30,"Highest",9.1,9.4,9.32,9.25,5.4,14.9,"2015","2021",30
397.9,187.31,"sntl_1070","Anchorage Hillside",1070,"Alaska","SNOTEL","Anchorage",2080,61.11483,-149.66683,190204010601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,126,138,149,156,99,102,96,3.65,93,2,15,"2nd Highest",8.1,7.4,6.85,6.55,2.9,15.9,"2014","2012",16
377.31,80.91,"sntl_1182","Bettles Field",1182,"Alaska","SNOTEL","Yukon-Koyukuk",640,66.91667,-151.53333,190901012604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.9,80,80,79,81,100,54,57,-0.9,38,26,16,"",4.9,4.9,4.96,4.8,1.3,11.8,"1996","1993",41
412.74,118.35,"sntl_1260","Chena Lakes",1260,"Alaska","SNOTEL","Fairbanks North Star",500,64.75793,-147.21823,190803060901,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.9,NA,NA,100,100,100,NA,NA,0,NA,1,1,"",NA,NA,2.9,2.9,2.9,2.9,"2021","2021",1
462.01,161.61,"sntl_1093","Chisana",1093,"Alaska","SNOTEL","Valdez-Cordova",3320,62.069,-142.049,190803010305,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.8,50,50,67,64,82,46,47,-1,25,10,4,"",3.6,3.6,2.7,2.8,1.4,4.2,"2017","2009",13
386.79,74.26,"sntl_958","Coldfoot",958,"Alaska","SNOTEL","Yukon-Koyukuk",1040,67.25333,-150.183,190901010604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,50,55,53,57,100,37,37,-1.95,16,22,5,"",5.2,4.7,4.93,4.55,1.5,8.7,"1996","2005",26
398.53,200.73,"sntl_959","Cooper Lake",959,"Alaska","SNOTEL","Kenai Peninsula",1200,60.39027,-149.6936,190203021205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.6,120,124,129,126,100,91,100,3,79,9,31,"",12.2,11.8,11.36,11.6,2.6,21,"2015","1992",40
402.3,178.01,"sntl_953","East Palmer",953,"Alaska","SNOTEL","Matanuska-Susitna",230,61.59858,-149.09637,190204020709,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.3,NA,NA,137,137,87,48,48,0.35,100,1,2,"2nd Lowest",NA,NA,0.95,0.95,0.6,1.3,"2020","2021",2
399.43,204.38,"sntl_1092","Exit Glacier",1092,"Alaska","SNOTEL","Kenai Peninsula",400,60.19033,-149.62117,190202020508,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",17.3,NA,124,177,220,90,124,144,9.45,89,2,9,"2nd Highest",NA,14,9.79,7.85,2.4,21.6,"2015","2012",10
428.8,145.48,"sntl_1268","Fielding Lake",1268,"Alaska","SNOTEL","Valdez-Cordova",3000,63.20267,-145.6305,190803040302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.3,NA,NA,72,79,100,51,52,-1.4,17,6,2,"2nd Lowest",NA,NA,7.36,6.7,4.4,14.7,"2017","2020",7
523.65,198.38,"sntl_1285","Flower Mountain",1285,"Alaska","SNOTEL","Haines",2510,59.39617,-136.28123,190103031206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",31.4,NA,NA,173,194,100,154,156,15.25,100,1,4,"Highest",NA,NA,18.15,16.15,8.9,31.4,"2018","2021",4
400.6,175.37,"sntl_641","Frostbite Bottom",641,"Alaska","SNOTEL","Matanuska-Susitna",2700,61.74722,-149.2688,190205051202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,NA,NA,74,74,100,38,38,-3,0,2,1,"Lowest",NA,NA,11.5,11.5,8.5,14.5,"2021","2020",2
337.89,121.77,"sntl_429","Galena AK",429,"Alaska","SNOTEL","Yukon-Koyukuk",410,64.69662,-156.71497,190902051104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4,NA,NA,85,93,100,60,60,-0.3,0,3,1,"Lowest",NA,NA,4.7,4.3,4,5.8,"2021","2020",3
403.96,196.3,"sntl_956","Grandview",956,"Alaska","SNOTEL","Kenai Peninsula",1100,60.60832,-149.06313,190203021001,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",26.7,121,120,138,132,97,82,77,6.4,79,7,24,"",22.1,22.3,19.28,20.3,1.2,34.8,"2015","2000",30
