"x","y","site_id","water_year","diff_peak","diff_sm50","perd_peak","perd_sm50","perpast_peak","perpast_sm50","anom_peak","anom_sm50","mean","median","n","sd","ptile","date","water_day","swe","year","diff","perc_ch","perc","anomaly","today_diff","today_perc_ch","today_perc","today_anomaly"
379.54,220.96,987,2021,-1.235,NA,-13.0895601483837,NA,86.9104398516163,NA,-0.228286790619024,NA,6.52,7,10,4.27390011841903,0.6,"2021-03-04",155,7.4,2021,0.880000000000001,13.4969325153374,113.496932515337,0.205900927868554,NA,NA,NA,NA
386.81,74.32,958,2021,-4.545,NA,-62.7329192546584,NA,37.2670807453416,NA,-1.98839549640639,NA,5.4,5.1,16,2.5298221281347,0.1875,"2021-03-04",155,2.8,2021,-2.6,-48.1481481481482,51.8518518518518,-1.02774023955472,NA,NA,NA,NA
301.47,59.01,1175,2021,-1.65555555555556,NA,-26.4653641207815,NA,73.5346358792185,NA,-0.60101658617235,NA,7.03333333333333,8.5,3,2.80416357107308,0.333333333333333,"2021-03-04",155,4.4,2021,-2.63333333333333,-37.4407582938389,62.5592417061611,-0.939079788532316,NA,NA,NA,NA
401.91,202.92,964,2021,7.445,NA,45.5212473249771,NA,145.521247324977,NA,1.13012860924598,NA,14.1,14.4,12,5.44493092033983,1,"2021-03-04",155,23.8,2021,9.7,68.7943262411348,168.794326241135,1.78147347356881,NA,NA,NA,NA
399.73,196.38,955,2021,0.0599999999999987,NA,0.543478260869554,NA,100.54347826087,NA,0.0172193022372588,NA,10.0142857142857,10.1,21,2.50963856247981,0.714285714285714,"2021-03-04",155,11.1,2021,1.08571428571429,10.8416547788873,110.841654778887,0.432617788850629,NA,NA,NA,NA
393.46,168.72,967,2021,-1.425,NA,-16.9139465875371,NA,83.0860534124629,NA,-0.558800915048541,NA,8.53478260869565,7.6,23,3.25654706924823,0.434782608695652,"2021-03-04",155,7.2,2021,-1.33478260869565,-15.6393275598574,84.3606724401427,-0.409876651653552,NA,NA,NA,NA
428.94,131.7,963,2021,-0.855,NA,-21.0850801479655,NA,78.9149198520345,NA,-0.621925316937837,NA,3.66818181818182,3.6,22,1.09474344184526,0.409090909090909,"2021-03-04",155,3.2,2021,-0.468181818181818,-12.7633209417596,87.2366790582404,-0.427663505700174,NA,NA,NA,NA
384.88,213.52,1003,2021,1.6,NA,13.9130434782609,NA,113.913043478261,NA,0.357629734619314,NA,9.22272727272727,9.1,22,3.45955293260654,0.863636363636364,"2021-03-04",155,13.4,2021,4.17727272727273,45.2932479053721,145.293247905372,1.20746027265593,NA,NA,NA,NA
403.98,196.26,956,2021,-3.305,NA,-10.5238019423659,NA,89.4761980576341,NA,-0.23043842665069,NA,25,26.9,19,8.46509171703283,0.578947368421053,"2021-03-04",155,28.6,2021,3.6,14.4,114.4,0.425275959238144,NA,NA,NA,NA
391.05,194.86,966,2021,-0.785,NA,-16.405433646813,NA,83.594566353187,NA,-0.453675856038504,NA,4.44090909090909,4.05,22,1.80228930897532,0.545454545454545,"2021-03-04",155,4.2,2021,-0.24090909090909,-5.42476970317296,94.575230296827,-0.133668379271504,NA,NA,NA,NA
