"x","y","site_id"
87.08,40.35,672
88.49,8.38,1011
69.4,62.57,1012
138.22,20.42,1043
86.17,44.8,1068
81.24,42.55,1069
99.31,8.91,1080
82.93,50.41,1085
60.38,25.1,1107
67.29,67.83,1109
59.55,30.48,1126
88.4,71.61,1129
130.38,16.52,1159
99.43,28.08,1171
90.3,72.12,1231
134,34.2,1256
77.28,54,1257
116.11,20.89,1259
73.83,60.22,1263
85.47,52.45,375
154.63,27.99,376
84.8,47.56,418
83.28,41.32,420
93.05,38.18,478
86.31,58.5,502
100.19,45.89,507
105.7,15.29,515
69.78,62.9,553
73.24,61.18,591
86.54,62.82,599
99.16,25.11,606
83.88,49.77,642
126.07,28.5,644
79.25,51.4,679
100.5,20.13,681
83.52,56.17,692
102.95,30.8,699
80.24,61.33,702
152.07,45.26,707
103.47,19.14,711
116.9,19.55,728
68.56,61.66,748
73.15,63.18,776
69.99,60.49,777
87.95,42.83,788
94.23,33.81,791
100.01,18,817
132.51,79.76,824
102.79,47.69,832
101.97,46.13,841
83.78,55.79,863
86.14,42.11,897
85.17,40.05,898
86.43,41.07,899
85.73,30.81,908
90.73,7.89,909
88.02,11.14,910
84.4,41.18,911
86.43,33.24,912
83.22,46,928
77.24,47.48,941
78.02,45.23,942
66.72,23.38,943
62.21,20.48,974
103.19,17.96,975
137.37,79.56,984
139.86,78.8,985
98.19,9.72,990
95.56,9.45,998
91.36,10.51,999
271.8,326.99,1017
283.57,386,1034
245.25,390.17,1048
294.2,327.19,1083
235.24,319.09,1138
296.39,317.53,1168
300.62,313.33,1169
298.26,321.45,1170
283.79,310.06,1172
276.25,327.93,1173
292.33,328.32,1254
281.42,317.5,316
276.67,307.08,394
228,371.86,486
293.81,325.84,491
282.95,313.05,532
246.91,382.69,595
300.7,308.95,665
278.81,330.19,708
298.71,315.12,715
271.38,327.6,744
239.96,391.47,755
231.2,380.43,757
293.26,334.79,854
288.38,336.04,921
289.06,334.58,922
244.29,341.23,933
300.8,320.38,934
335.68,155.97,354
338.8,154.05,920
61.09,229.21,1049
63.1,226.12,1050
62.45,228.66,1051
66.43,236.9,1052
60.5,228.83,1067
67.34,156.06,1258
61.77,183.96,1277
62.03,171.6,301
61.36,230.87,356
71.59,166.44,391
58.02,213.73,428
75.72,158.27,446
62.99,232.64,462
60.07,225.11,463
61,223.54,473
62.34,225.7,508
63.05,224.3,518
59.98,211.53,539
60.36,210.72,540
59.55,211.87,541
64.64,239.15,574
65.73,238.98,575
69.43,236.75,587
66.74,230.88,633
65.55,234.19,697
60.08,221.72,724
64.97,238.56,771
63.32,230.01,778
58.86,217.11,784
60.69,218.04,809
60.92,215.16,834
69.76,245.18,846
59.4,218.38,848
66.31,158.05,977
50.1,131.43,1000
67.45,141.41,1010
48.29,122.75,1044
54.91,143.19,1077
52.53,133.92,1078
130.35,82.37,1079
47.86,76.88,1084
43.17,144.2,1158
59.95,101.17,1166
60.52,102.01,1167
107.07,94.35,304
122.2,98.94,331
34.75,145.64,341
27.4,142.8,343
45.84,140.65,344
69.8,79.12,351
113.14,116.87,357
121.04,105.8,361
119.54,93.61,362
56.03,116.8,388
57.71,125.41,395
69.5,86.47,398
70.91,84.83,401
47.94,138.52,406
117.48,96.91,422
61.07,97.19,434
92.96,107.36,440
122.44,105.24,464
120.85,89.47,470
103.56,149.07,477
44.43,140.93,479
46.63,140.19,483
118.89,106.85,494
73.26,75.8,504
