"site_no","sp","elev"
"site_6614800",90.75303864,3428.822
"site_9063900",90.1438,3473.622
"site_9034900",89.58358,3602.97
"site_9035500",88.12428,3524.486
"site_6746095",87.2906115,3286.369
"site_9064000",86.40753,3438.549
"site_9065500",86.38077,3384.192
"site_9066200",84.73919,3306.427
"site_9022000",84.72582,3426.753
"site_9032100",84.05294,3316.761
"site_9065100",83.75706,3407.915
"site_7083000",83.53662,3645.98
"site_9035700",83.40889,3386.617
"site_9046490",83.22473,3548.334
"site_9035900",83.16462,3353.157
"site_9024000",82.20275,3292.431
"site_9358550",82.19871,3486.182
"site_9025000",81.38641,3329.783
"site_9066000",81.3487,3260.859
"site_9074000",80.79993,3304.978
"site_9026500",79.61402,3275.941
"site_9032000",79.41686,3184.961
"site_9051050",78.68259,3367.534
"site_9025300",78.32703,3237.806
"site_9067200",77.80634,3146.204
"site_9066300",77.72203,3188.796
"site_9047700",77.32837,3313.093
"site_9067000",76.44786,3107.192
"site_9132995",58.54075,2677.525
"site_9134000",57.62452,2582.048
"site_9306242",44.48758,2300.193
