"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn",301,"California","SNOTEL","Modoc",6190,41.23583,-120.79192,180200021403,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,89,96,95,100,100,66,71,0,50,19,18,"",10.1,9.4,9.48,9,0,17.9,"2015","1995",37
"Agua Canyon",907,"Utah","SNOTEL","Kane",8900,37.52217,-112.27118,160300020301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,54,71,50,55,100,33,35,-2.6,19,22,6,"",5.9,4.5,6.36,5.8,0.1,17.7,"2018","2005",27
"Albro Lake",916,"Montana","SNOTEL","Madison",8300,45.59723,-111.95902,100200050701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,74,74,76,83,100,40,42,-1.9,8,23,3,"",12.1,12.1,11.9,10.9,7.6,21.8,"2005","1997",25
"Alexander Lake",1267,"Alaska","SNOTEL","Matanuska-Susitna",160,61.74967,-150.88967,190205051106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.2,NA,NA,124,124,100,97,95,1.6,83,2,6,"2nd Highest",NA,NA,6.63,6.6,3.5,10.5,"2017","2020",7
"Alpine Meadows",908,"Washington","SNOTEL","King",3500,47.77957,-121.69847,171100100501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",34.8,107,97,109,107,100,62,59,2.3,58,12,16,"",32.5,35.8,31.94,32.5,0,65.2,"2015","2008",27
"American Creek",1189,"Alaska","SNOTEL","Southeast Fairbanks",1050,64.78969,-141.23376,190705050504,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,NA,NA,89,93,96,65,70,-0.2,22,8,2,"2nd Lowest",NA,NA,2.92,2.8,1.4,4.4,"2018","2020",10
"Anchor River Divide",1062,"Alaska","SNOTEL","Kenai Peninsula",1653,59.85972,-151.315,190203010701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.9,164,159,160,161,100,113,116,5.65,100,1,30,"Highest",9.1,9.4,9.32,9.25,5.4,14.9,"2015","2021",30
"Anchorage Hillside",1070,"Alaska","SNOTEL","Anchorage",2080,61.11483,-149.66683,190204010601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,126,138,149,156,99,102,96,3.65,93,2,15,"2nd Highest",8.1,7.4,6.85,6.55,2.9,15.9,"2014","2012",16
"Aneroid Lake #2",302,"Oregon","SNOTEL","Wallowa",7400,45.21328,-117.19258,170601050101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",16.5,16.4,15.44,14.8,8.8,34.3,"2005","1997",38
"Annie Springs",1000,"Oregon","SNOTEL","Klamath",6010,42.87007,-122.16518,180102030101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.6,80,84,92,96,100,59,58,-1,45,12,10,"",29.4,28.1,25.54,24.6,8.5,49.4,"2014","2006",21
